[run number],release-adult-hybrids,stop-criterion-type,release-end,release-age,sex-ratio,Corral-capacity,[step],pop-size-wild,adult-pop-size-wild,cost,final-mean-qval,final-sd-qval,final-aar,final-sar,final-ho,final-sex-ratio,ticks
124,TRUE,"""time""",20,7,0.5,20,50,673,361,1077030,0.19817162,0.035882923,134,4.486390012,0.705158141,0.533432392,50
125,TRUE,"""time""",20,7,0.5,20,50,725,349,1049650,0.189137379,0.033573739,131,4.473675985,0.704170772,0.553103448,50
126,TRUE,"""time""",20,7,0.5,28,50,865,429,1601415,0.19366578,0.031777933,133,4.476599513,0.715717038,0.541040462,50
127,TRUE,"""time""",20,7,0.5,28,50,788,401,1554885,0.188749873,0.03190883,139,4.516365742,0.717005076,0.546954315,50
128,TRUE,"""time""",20,7,0.5,28,50,875,421,1666665,0.195194971,0.032847459,138,4.471005964,0.708734694,0.510857143,50
129,TRUE,"""time""",20,7,0.5,28,50,887,436,1594785,0.189332018,0.029160957,138,4.522794664,0.724110163,0.529875986,50
130,TRUE,"""time""",20,7,0.5,28,50,877,456,1651550,0.194972178,0.033229449,138,4.491375929,0.708855948,0.5336374,50
131,TRUE,"""time""",20,7,0.67,20,50,856,392,1066210,0.193761799,0.033602799,130,4.484714586,0.711281709,0.561915888,50
132,TRUE,"""time""",20,7,0.67,20,50,661,311,1000015,0.18984826,0.031888741,135,4.485209283,0.705136518,0.553706505,50
133,TRUE,"""time""",20,7,0.67,20,50,838,370,1018090,0.182540573,0.029871728,132,4.453356379,0.711955904,0.565632458,50
134,TRUE,"""time""",20,7,0.67,20,50,776,353,1045670,0.187488531,0.031893562,136,4.474912858,0.713487973,0.601804124,50
135,TRUE,"""time""",20,7,0.67,20,50,796,382,1059225,0.180298869,0.031472236,134,4.471760071,0.720268007,0.57160804,50
136,TRUE,"""time""",20,7,0.67,28,50,1078,490,1706385,0.192372635,0.032240671,139,4.495923165,0.708101422,0.543599258,50
137,TRUE,"""time""",20,7,0.67,28,50,1052,504,1711270,0.192843631,0.030212778,137,4.511281475,0.706590621,0.576045627,50
138,TRUE,"""time""",20,7,0.67,28,50,1175,545,1683680,0.202929617,0.03870012,134,4.487460137,0.705450861,0.570212766,50
139,TRUE,"""time""",20,7,0.67,28,50,1131,538,1734840,0.199752962,0.035514251,135,4.497977808,0.710538504,0.553492485,50
140,TRUE,"""time""",20,7,0.67,28,50,1098,499,1707805,0.202515027,0.038640174,135,4.511047624,0.703270015,0.563752277,50
141,TRUE,"""time""",20,7,0.75,20,50,791,366,1069840,0.19138091,0.035419313,136,4.496012924,0.706941184,0.597977244,50
142,TRUE,"""time""",20,7,0.75,20,50,926,400,1049050,0.187155724,0.033668177,136,4.508401521,0.710068909,0.589632829,50
143,TRUE,"""time""",20,7,0.75,20,50,883,407,1035515,0.185468177,0.032255214,135,4.475448826,0.71531036,0.54813137,50
144,TRUE,"""time""",20,7,0.75,20,50,876,403,1067865,0.185597032,0.031801638,136,4.500897477,0.710806697,0.567351598,50
145,TRUE,"""time""",20,7,0.75,20,50,932,425,1071155,0.190162446,0.035050011,134,4.474390692,0.712344165,0.580472103,50
146,TRUE,"""time""",20,7,0.75,28,50,1138,522,1669325,0.192303691,0.029798492,137,4.522923935,0.709431752,0.586994728,50
147,TRUE,"""time""",20,7,0.75,28,50,1293,594,1745895,0.19918198,0.034929214,135,4.476165009,0.71594299,0.576179428,50
148,TRUE,"""time""",20,7,0.75,28,50,1138,519,1735975,0.192160808,0.032484654,134,4.512329354,0.712444556,0.580843585,50
149,TRUE,"""time""",20,7,0.75,28,50,1185,520,1608100,0.192143291,0.029640681,134,4.50865241,0.71806309,0.597468354,50
150,TRUE,"""time""",20,7,0.75,28,50,1134,488,1736385,0.197334568,0.03400148,134,4.49823165,0.71000252,0.563492063,50
151,TRUE,"""time""",30,3,0.5,20,50,788,418,1122825,0.193456599,0.033141136,134,4.461561412,0.702924825,0.521573604,50
152,TRUE,"""time""",30,3,0.5,20,50,878,472,1116815,0.190689977,0.032904032,137,4.468120356,0.719166938,0.54214123,50
153,TRUE,"""time""",30,3,0.5,20,50,646,335,1018215,0.194936533,0.032789784,131,4.453790711,0.715465133,0.513931889,50
154,TRUE,"""time""",30,3,0.5,20,50,925,490,1174325,0.189796324,0.033613219,132,4.462048204,0.72005148,0.517837838,50
155,TRUE,"""time""",30,3,0.5,20,50,915,476,1151700,0.189841639,0.033716499,134,4.476223162,0.717668488,0.531147541,50
156,TRUE,"""time""",30,3,0.5,28,50,1137,602,1507375,0.200340281,0.037693424,138,4.510890694,0.707542824,0.512752858,50
157,TRUE,"""time""",30,3,0.5,28,50,1040,534,1455250,0.201504904,0.034678516,139,4.491142504,0.7125,0.533653846,50
158,TRUE,"""time""",30,3,0.5,28,50,1106,581,1420815,0.193041591,0.030480541,134,4.51299516,0.719064841,0.516274864,50
159,TRUE,"""time""",30,3,0.5,28,50,1109,575,1451045,0.200785122,0.035617816,135,4.474725843,0.713727511,0.528403968,50
160,TRUE,"""time""",30,3,0.5,28,50,1130,607,1457845,0.198427876,0.03603536,139,4.503440399,0.704424779,0.526548673,50
161,TRUE,"""time""",30,3,0.67,20,50,904,406,1031480,0.194243584,0.036351087,136,4.490493106,0.7092815,0.565265487,50
162,TRUE,"""time""",30,3,0.67,20,50,999,460,1095165,0.188276176,0.0309994,136,4.481620642,0.718909386,0.583583584,50
163,TRUE,"""time""",30,3,0.67,20,50,935,448,1130275,0.191221283,0.032018929,131,4.475370638,0.720244461,0.559358289,50
164,TRUE,"""time""",30,3,0.67,20,50,884,432,1109220,0.191073756,0.036275382,131,4.460999228,0.718110321,0.584841629,50
165,TRUE,"""time""",30,3,0.67,20,50,1067,491,1166855,0.194347142,0.035120094,137,4.455946453,0.704333467,0.582005623,50
166,TRUE,"""time""",30,3,0.67,28,50,1293,603,1500205,0.199214617,0.036505971,138,4.520975508,0.715758848,0.56767208,50
167,TRUE,"""time""",30,3,0.67,28,50,1446,678,1511165,0.202982988,0.037915993,137,4.502964785,0.703550023,0.566390041,50
168,TRUE,"""time""",30,3,0.67,28,50,1389,623,1457055,0.194325558,0.033814825,134,4.524718034,0.714628544,0.575233981,50
169,TRUE,"""time""",30,3,0.67,28,50,1283,586,1477645,0.198552221,0.034574676,136,4.497078083,0.712763983,0.595479345,50
170,TRUE,"""time""",30,3,0.67,28,50,1380,639,1467585,0.199225217,0.03397148,135,4.499260759,0.712491373,0.592753623,50
171,TRUE,"""time""",30,3,0.75,20,50,949,411,1084945,0.19463098,0.034115622,130,4.474298575,0.716343018,0.600632244,50
172,TRUE,"""time""",30,3,0.75,20,50,1002,447,1082440,0.196070659,0.037849859,135,4.484995357,0.717659918,0.611776447,50
173,TRUE,"""time""",30,3,0.75,20,50,1156,523,1183215,0.190341609,0.034064706,135,4.490439906,0.71296754,0.615051903,50
174,TRUE,"""time""",30,3,0.75,20,50,1090,475,1113465,0.199877248,0.040757864,136,4.474870836,0.702621232,0.614678899,50
175,TRUE,"""time""",30,3,0.75,20,50,991,438,1062195,0.192120686,0.036098192,136,4.46629462,0.701840373,0.600403633,50
176,TRUE,"""time""",30,3,0.75,28,50,1589,703,1526325,0.192395909,0.03178528,135,4.483113941,0.720219365,0.602894902,50
177,TRUE,"""time""",30,3,0.75,28,50,1427,645,1500955,0.197675333,0.037128392,134,4.493871739,0.716087696,0.6033637,50
178,TRUE,"""time""",30,3,0.75,28,50,1298,602,1513960,0.199808937,0.038121026,138,4.513690792,0.707645462,0.608628659,50
179,TRUE,"""time""",30,3,0.75,28,50,1224,552,1413930,0.199411111,0.03376778,139,4.517828592,0.716036415,0.604575163,50
180,TRUE,"""time""",30,3,0.75,28,50,1444,662,1483020,0.196266066,0.033364365,137,4.521477501,0.712570901,0.621883657,50
181,TRUE,"""time""",30,4,0.5,20,50,1071,553,1273280,0.189769841,0.032793737,132,4.463952513,0.709661642,0.529411765,50
182,TRUE,"""time""",30,4,0.5,20,50,1151,584,1328040,0.191244396,0.033330248,136,4.463862612,0.714989036,0.544743701,50
183,TRUE,"""time""",30,4,0.5,20,50,938,478,1241725,0.192783902,0.034652046,136,4.477311033,0.719565438,0.533049041,50
184,TRUE,"""time""",30,4,0.5,20,50,1160,614,1306530,0.189624655,0.032760148,137,4.467113847,0.70907225,0.497413793,50
185,TRUE,"""time""",30,4,0.5,20,50,1055,522,1261175,0.189389858,0.032612299,136,4.476845188,0.710449109,0.520379147,50
186,TRUE,"""time""",30,4,0.5,28,50,1424,715,1756115,0.200355197,0.033600325,134,4.496987678,0.710506956,0.548455056,50
187,TRUE,"""time""",30,4,0.5,28,50,1442,727,1721750,0.193478433,0.033465857,135,4.496765386,0.716960571,0.546463245,50
188,TRUE,"""time""",30,4,0.5,28,50,1469,770,1721450,0.202371205,0.038386153,135,4.496737584,0.717267983,0.522804629,50
189,TRUE,"""time""",30,4,0.5,28,50,1475,753,1713345,0.200401898,0.036878927,135,4.459761302,0.711412429,0.522033898,50
190,TRUE,"""time""",30,4,0.5,28,50,1526,777,1742360,0.198071429,0.034766359,138,4.494857394,0.716095613,0.52621232,50
191,TRUE,"""time""",30,4,0.67,20,50,1067,483,1174275,0.187555576,0.031527028,136,4.463334422,0.713169992,0.584817245,50
192,TRUE,"""time""",30,4,0.67,20,50,1349,592,1347160,0.19243106,0.035551353,130,4.466465267,0.713367927,0.593031875,50
193,TRUE,"""time""",30,4,0.67,20,50,1266,574,1311520,0.197945577,0.037508271,131,4.467695559,0.713608666,0.601105845,50
194,TRUE,"""time""",30,4,0.67,20,50,1322,598,1268955,0.189982148,0.031400734,132,4.479238443,0.712196528,0.605900151,50
195,TRUE,"""time""",30,4,0.67,20,50,1162,548,1312055,0.186227797,0.031519904,130,4.468958251,0.717441193,0.574870912,50
196,TRUE,"""time""",30,4,0.67,28,50,1716,811,1750465,0.197298193,0.035732414,138,4.498339498,0.70962371,0.585081585,50
197,TRUE,"""time""",30,4,0.67,28,50,1808,829,1786810,0.202165653,0.035822813,138,4.48199512,0.721291614,0.584070796,50
198,TRUE,"""time""",30,4,0.67,28,50,1723,767,1680025,0.202040801,0.03515028,134,4.495914817,0.710582318,0.590249565,50
199,TRUE,"""time""",30,4,0.67,28,50,1525,715,1622060,0.197214492,0.0310997,139,4.483054959,0.722373146,0.577704918,50
200,TRUE,"""time""",30,4,0.67,28,50,1652,754,1671030,0.19653184,0.033713537,132,4.475762482,0.719993082,0.570823245,50
201,TRUE,"""time""",30,4,0.75,20,50,1289,576,1326705,0.192151047,0.034085256,133,4.472880011,0.714433485,0.607447634,50
202,TRUE,"""time""",30,4,0.75,20,50,1342,591,1307185,0.187343443,0.031764778,136,4.469892439,0.707295437,0.602831595,50
203,TRUE,"""time""",30,4,0.75,20,50,1503,658,1338890,0.190394943,0.032645438,134,4.466326529,0.710515477,0.597471723,50
204,TRUE,"""time""",30,4,0.75,20,50,1377,573,1305010,0.192383951,0.036569861,134,4.491690242,0.709167618,0.611474219,50
